\estQuantile: 0.9, Error percentile: 0, traceSize: 10000
estQuantile: 0.9, Error percentile: 0, traceSize: 10000
estQuantile: 0, Error percentile: 0.9, traceSize: 10000
estQuantile: 0.9, Error percentile: 0, traceSize: 10000
estQuantile: 0.9, Error percentile: 0, traceSize: 10000
estQuantile: 0, Error percentile: 0.9, traceSize: 10000
estQuantile: 0, Error percentile: 0.9, traceSize: 10000
estQuantile: 0.9, Error percentile: 0, traceSize: 10000
estQuantile: 0.9, Error percentile: 0, traceSize: 10000
estQuantile: 0.9, Error percentile: 0, traceSize: 10000
estQuantile: 0.9, Error percentile: 0, traceSize: 10000
estQuantile: 0, Error percentile: 0.9, traceSize: 10000
estQuantile: 0.9, Error percentile: 0, traceSize: 10000
estQuantile: 0.9, Error percentile: 0, traceSize: 10000
estQuantile: 1.00215, Error percentile: 0.102151, traceSize: 10000
estQuantile: 0.9, Error percentile: 0, traceSize: 10000
estQuantile: 0.9, Error percentile: 0, traceSize: 10000
estQuantile: 0.9, Error percentile: 0, traceSize: 10000
estQuantile: 0.9, Error percentile: 0, traceSize: 10000
estQuantile: 0.9, Error percentile: 0, traceSize: 10000
estQuantile: 0.9, Error percentile: 0, traceSize: 20000
estQuantile: 0.9, Error percentile: 0, traceSize: 20000
estQuantile: 0.9, Error percentile: 0, traceSize: 20000
estQuantile: 0.9, Error percentile: 0, traceSize: 20000
estQuantile: 0.9, Error percentile: 0, traceSize: 20000
estQuantile: 0.9, Error percentile: 0, traceSize: 20000
estQuantile: 0, Error percentile: 0.9, traceSize: 20000
estQuantile: 1.00452, Error percentile: 0.104525, traceSize: 20000
estQuantile: 0.9, Error percentile: 0, traceSize: 20000
estQuantile: 0.9, Error percentile: 0, traceSize: 20000
estQuantile: 0.9, Error percentile: 0, traceSize: 20000
estQuantile: 0.9, Error percentile: 0, traceSize: 20000
estQuantile: 0.9, Error percentile: 0, traceSize: 20000
estQuantile: 0.9, Error percentile: 0, traceSize: 20000
estQuantile: 1, Error percentile: 0.1, traceSize: 20000
estQuantile: 0.9, Error percentile: 0, traceSize: 20000
estQuantile: 0.9, Error percentile: 0, traceSize: 20000
estQuantile: 0.9, Error percentile: 0, traceSize: 20000
estQuantile: 0.976159, Error percentile: 0.0761589, traceSize: 20000
estQuantile: 0.9, Error percentile: 0, traceSize: 20000
estQuantile: 0.980122, Error percentile: 0.0801223, traceSize: 20000
estQuantile: 0.9, Error percentile: 0, traceSize: 20000
estQuantile: 0.9, Error percentile: 0, traceSize: 30000
estQuantile: 0.9, Error percentile: 0, traceSize: 30000
estQuantile: 0.949677, Error percentile: 0.0496774, traceSize: 30000
estQuantile: 0, Error percentile: 0.9, traceSize: 30000
estQuantile: 0.9, Error percentile: 0, traceSize: 30000
estQuantile: 0.994746, Error percentile: 0.0947461, traceSize: 30000
estQuantile: 0.9, Error percentile: 0, traceSize: 30000
estQuantile: 0.9, Error percentile: 0, traceSize: 30000
estQuantile: 0.868805, Error percentile: 0.0311953, traceSize: 30000
estQuantile: 0.9, Error percentile: 0, traceSize: 30000
estQuantile: 0.9, Error percentile: 0, traceSize: 30000
estQuantile: 0.9, Error percentile: 0, traceSize: 30000
estQuantile: 0.9, Error percentile: 0, traceSize: 30000
estQuantile: 0.9, Error percentile: 0, traceSize: 30000
estQuantile: 0.9, Error percentile: 0, traceSize: 30000
estQuantile: 0.998099, Error percentile: 0.0980989, traceSize: 30000
estQuantile: 0.9, Error percentile: 0, traceSize: 30000
