Initialize space saving, #entries: 632, qsketch eps: 0.0125, #samples: 101192
estQuantile: 0.94217, Error percentile: 0.0421697, traceSize: 200000
estQuantile: 0.981464, Error percentile: 0.0814639, traceSize: 200000
estQuantile: 0.962598, Error percentile: 0.0625984, traceSize: 200000
estQuantile: 0.9, Error percentile: 0, traceSize: 200000
estQuantile: 0.892233, Error percentile: 0.00776679, traceSize: 200000
estQuantile: 0.924138, Error percentile: 0.0241379, traceSize: 200000
estQuantile: 0.964077, Error percentile: 0.0640765, traceSize: 200000
estQuantile: 0.936028, Error percentile: 0.0360276, traceSize: 200000
estQuantile: 0.925546, Error percentile: 0.0255456, traceSize: 200000
estQuantile: 0.924749, Error percentile: 0.0247494, traceSize: 200000
estQuantile: 0.9, Error percentile: 0, traceSize: 200000
estQuantile: 0.9, Error percentile: 0, traceSize: 200000
estQuantile: 0.892697, Error percentile: 0.00730253, traceSize: 200000
estQuantile: 0.967663, Error percentile: 0.067663, traceSize: 200000
estQuantile: 0.968858, Error percentile: 0.0688581, traceSize: 200000
estQuantile: 0.831529, Error percentile: 0.0684709, traceSize: 200000
estQuantile: 0.914994, Error percentile: 0.0149944, traceSize: 200000
estQuantile: 0.984803, Error percentile: 0.0848033, traceSize: 200000
estQuantile: 0.880897, Error percentile: 0.0191034, traceSize: 200000
estQuantile: 0.948529, Error percentile: 0.0485294, traceSize: 200000
estQuantile: 0.9, Error percentile: 0, traceSize: 200000
estQuantile: 0.9, Error percentile: 0, traceSize: 200000
estQuantile: 0.971386, Error percentile: 0.0713855, traceSize: 200000
estQuantile: 0.917252, Error percentile: 0.0172521, traceSize: 200000
estQuantile: 0.9, Error percentile: 0, traceSize: 200000
estQuantile: 0.9, Error percentile: 0, traceSize: 200000
estQuantile: 0.935303, Error percentile: 0.0353027, traceSize: 200000
estQuantile: 1.00042, Error percentile: 0.100421, traceSize: 200000
estQuantile: 0.949561, Error percentile: 0.0495608, traceSize: 200000
estQuantile: 0.966927, Error percentile: 0.0669274, traceSize: 200000
estQuantile: 0.908949, Error percentile: 0.00894881, traceSize: 200000
estQuantile: 0.924103, Error percentile: 0.0241031, traceSize: 200000
estQuantile: 0.986436, Error percentile: 0.0864359, traceSize: 200000
estQuantile: 0.9, Error percentile: 0, traceSize: 400000
estQuantile: 0.936413, Error percentile: 0.0364128, traceSize: 400000
estQuantile: 0.9, Error percentile: 0, traceSize: 400000
estQuantile: 0.935882, Error percentile: 0.0358819, traceSize: 400000
estQuantile: 0.893716, Error percentile: 0.00628354, traceSize: 400000
estQuantile: 0.9, Error percentile: 0, traceSize: 400000
estQuantile: 0.916249, Error percentile: 0.0162492, traceSize: 400000
estQuantile: 0.931907, Error percentile: 0.0319073, traceSize: 400000
estQuantile: 0.9, Error percentile: 0, traceSize: 400000
estQuantile: 0.9, Error percentile: 0, traceSize: 400000
estQuantile: 0.9, Error percentile: 0, traceSize: 400000
estQuantile: 0.946783, Error percentile: 0.046783, traceSize: 400000
estQuantile: 0.9, Error percentile: 0, traceSize: 400000
estQuantile: 0.9, Error percentile: 0, traceSize: 400000
estQuantile: 0.862959, Error percentile: 0.0370407, traceSize: 400000
estQuantile: 0.886697, Error percentile: 0.0133026, traceSize: 400000
estQuantile: 0.956166, Error percentile: 0.0561663, traceSize: 400000
estQuantile: 0.875401, Error percentile: 0.0245989, traceSize: 400000
estQuantile: 0.934687, Error percentile: 0.0346874, traceSize: 400000
estQuantile: 0.9, Error percentile: 0, traceSize: 400000
estQuantile: 0.9, Error percentile: 0, traceSize: 400000
estQuantile: 0.932464, Error percentile: 0.0324637, traceSize: 400000
estQuantile: 0.9, Error percentile: 0, traceSize: 400000
estQuantile: 0.9, Error percentile: 0, traceSize: 400000
estQuantile: 0.9, Error percentile: 0, traceSize: 400000
estQuantile: 0.937884, Error percentile: 0.0378837, traceSize: 400000
estQuantile: 0.928725, Error percentile: 0.0287254, traceSize: 400000
estQuantile: 0.95901, Error percentile: 0.0590097, traceSize: 400000
estQuantile: 0.930991, Error percentile: 0.0309912, traceSize: 400000
estQuantile: 0.952579, Error percentile: 0.052579, traceSize: 400000
estQuantile: 0.9, Error percentile: 0, traceSize: 400000
estQuantile: 0.989074, Error percentile: 0.0890736, traceSize: 400000
estQuantile: 0.9, Error percentile: 0, traceSize: 600000
estQuantile: 0.938776, Error percentile: 0.0387755, traceSize: 600000
estQuantile: 0.945946, Error percentile: 0.0459459, traceSize: 600000
estQuantile: 0.9, Error percentile: 0, traceSize: 600000
estQuantile: 0.9, Error percentile: 0, traceSize: 600000
estQuantile: 0.9, Error percentile: 0, traceSize: 600000
estQuantile: 0.899864, Error percentile: 0.000136343, traceSize: 600000
estQuantile: 0.968257, Error percentile: 0.0682573, traceSize: 600000
estQuantile: 0.91584, Error percentile: 0.0158398, traceSize: 600000
estQuantile: 0.9, Error percentile: 0, traceSize: 600000
estQuantile: 0.9, Error percentile: 0, traceSize: 600000
estQuantile: 0.9, Error percentile: 0, traceSize: 600000
estQuantile: 0.94489, Error percentile: 0.0448902, traceSize: 600000
estQuantile: 0.9, Error percentile: 0, traceSize: 600000
estQuantile: 0.9, Error percentile: 0, traceSize: 600000
estQuantile: 0.9, Error percentile: 0, traceSize: 600000
estQuantile: 0.9, Error percentile: 0, traceSize: 600000
estQuantile: 0.87715, Error percentile: 0.0228504, traceSize: 600000
estQuantile: 0.937891, Error percentile: 0.0378909, traceSize: 600000
estQuantile: 0.953157, Error percentile: 0.0531566, traceSize: 600000
estQuantile: 0.9, Error percentile: 0, traceSize: 600000
estQuantile: 0.9, Error percentile: 0, traceSize: 600000
estQuantile: 0.938916, Error percentile: 0.0389162, traceSize: 600000
estQuantile: 0.9, Error percentile: 0, traceSize: 600000
estQuantile: 0.9, Error percentile: 0, traceSize: 600000
estQuantile: 0.903975, Error percentile: 0.0039753, traceSize: 600000
estQuantile: 0.9, Error percentile: 0, traceSize: 600000
estQuantile: 0.942873, Error percentile: 0.0428726, traceSize: 600000
estQuantile: 0.934291, Error percentile: 0.0342907, traceSize: 600000
estQuantile: 0.954776, Error percentile: 0.0547763, traceSize: 600000
estQuantile: 0.9, Error percentile: 0, traceSize: 600000
estQuantile: 0.9, Error percentile: 0, traceSize: 600000
estQuantile: 0.9, Error percentile: 0, traceSize: 600000
estQuantile: 0.9, Error percentile: 0, traceSize: 800000
estQuantile: 0.952478, Error percentile: 0.0524777, traceSize: 800000
estQuantile: 0.9, Error percentile: 0, traceSize: 800000
estQuantile: 0.9, Error percentile: 0, traceSize: 800000
estQuantile: 0.9, Error percentile: 0, traceSize: 800000
estQuantile: 0.971242, Error percentile: 0.0712423, traceSize: 800000
estQuantile: 0.926712, Error percentile: 0.0267116, traceSize: 800000
estQuantile: 0.9, Error percentile: 0, traceSize: 800000
estQuantile: 0.9, Error percentile: 0, traceSize: 800000
estQuantile: 0.9, Error percentile: 0, traceSize: 800000
estQuantile: 0.945851, Error percentile: 0.0458505, traceSize: 800000
estQuantile: 0.9, Error percentile: 0, traceSize: 800000
estQuantile: 0.9, Error percentile: 0, traceSize: 800000
estQuantile: 0.9, Error percentile: 0, traceSize: 800000
estQuantile: 0.9, Error percentile: 0, traceSize: 800000
estQuantile: 0.9, Error percentile: 0, traceSize: 800000
estQuantile: 0.9, Error percentile: 0, traceSize: 800000
estQuantile: 0.946719, Error percentile: 0.046719, traceSize: 800000
estQuantile: 0.9, Error percentile: 0, traceSize: 800000
estQuantile: 0.9, Error percentile: 0, traceSize: 800000
estQuantile: 0.9, Error percentile: 0, traceSize: 800000
estQuantile: 0.9, Error percentile: 0, traceSize: 800000
estQuantile: 0.902302, Error percentile: 0.00230229, traceSize: 800000
estQuantile: 0.922757, Error percentile: 0.0227575, traceSize: 800000
estQuantile: 0.925393, Error percentile: 0.0253925, traceSize: 800000
estQuantile: 0.933413, Error percentile: 0.033413, traceSize: 800000
estQuantile: 0.9, Error percentile: 0, traceSize: 800000
estQuantile: 0.942443, Error percentile: 0.0424434, traceSize: 800000
estQuantile: 0.9, Error percentile: 0, traceSize: 800000
estQuantile: 0.9, Error percentile: 0, traceSize: 800000
estQuantile: 0.9, Error percentile: 0, traceSize: 800000
estQuantile: 0.895884, Error percentile: 0.00411648, traceSize: 10000000
estQuantile: 0.912252, Error percentile: 0.0122515, traceSize: 10000000
estQuantile: 0.903698, Error percentile: 0.00369805, traceSize: 10000000
estQuantile: 0.9, Error percentile: 0, traceSize: 10000000
estQuantile: 0.907788, Error percentile: 0.00778839, traceSize: 10000000
estQuantile: 0.901844, Error percentile: 0.00184411, traceSize: 10000000
estQuantile: 0.899533, Error percentile: 0.000466907, traceSize: 10000000
estQuantile: 0.898278, Error percentile: 0.00172188, traceSize: 20000000
estQuantile: 0.912247, Error percentile: 0.0122472, traceSize: 20000000
estQuantile: 0.906603, Error percentile: 0.00660345, traceSize: 20000000
estQuantile: 0.9, Error percentile: 0, traceSize: 20000000
estQuantile: 0.90634, Error percentile: 0.00634038, traceSize: 20000000
estQuantile: 0.901306, Error percentile: 0.00130577, traceSize: 20000000
estQuantile: 0.903649, Error percentile: 0.00364908, traceSize: 20000000
estQuantile: 0.893557, Error percentile: 0.00644298, traceSize: 30000000
estQuantile: 0.911128, Error percentile: 0.0111282, traceSize: 30000000
estQuantile: 0.899469, Error percentile: 0.000530955, traceSize: 30000000
estQuantile: 0.9, Error percentile: 0, traceSize: 30000000
estQuantile: 0.90298, Error percentile: 0.00298041, traceSize: 30000000
estQuantile: 0.893742, Error percentile: 0.00625757, traceSize: 30000000
estQuantile: 0.903965, Error percentile: 0.00396532, traceSize: 30000000
estQuantile: 0.894614, Error percentile: 0.0053862, traceSize: 40000000
estQuantile: 0.903009, Error percentile: 0.0030089, traceSize: 40000000
estQuantile: 0.898001, Error percentile: 0.00199893, traceSize: 40000000
estQuantile: 0.9, Error percentile: 0, traceSize: 40000000
estQuantile: 0.901428, Error percentile: 0.00142809, traceSize: 40000000
estQuantile: 0.90046, Error percentile: 0.000460322, traceSize: 40000000
estQuantile: 0.903522, Error percentile: 0.00352176, traceSize: 40000000
estQuantile: 0.894662, Error percentile: 0.00533768, traceSize: 50000000
estQuantile: 0.904002, Error percentile: 0.0040018, traceSize: 50000000
estQuantile: 0.898001, Error percentile: 0.00199931, traceSize: 50000000
estQuantile: 0.9, Error percentile: 0, traceSize: 50000000
estQuantile: 0.904089, Error percentile: 0.0040889, traceSize: 50000000
estQuantile: 0.901303, Error percentile: 0.00130324, traceSize: 50000000
estQuantile: 0.903521, Error percentile: 0.00352132, traceSize: 50000000
estQuantile: 0.898236, Error percentile: 0.00176398, traceSize: 60000000
estQuantile: 0.904002, Error percentile: 0.00400152, traceSize: 60000000
