id= 82429, freq= 5162550689792
id= 5566, freq= 143494857359360
id= 47844, freq= 17497696763904
id= 62254, freq= 16393890168832
id= 64711, freq= 17175574216704
id= 6568, freq= 174367082283008
id= 38375, freq= 26560077758464
id= 15822, freq= 71549860184064
id= 60122, freq= 18313740550144
id= 4436, freq= 158458523418624
id= 9652, freq= 81170586927104
id= 1594, freq= 66202625900544
id= 8075, freq= 85968065396736
id= 42632, freq= 18399639896064
id= 2373, freq= 63204738727936
id= 74161, freq= 10037338570752
id= 21698, freq= 51410758533120
id= 52238, freq= 13361643257856
id= 3640, freq= 143516332195840
id= 10437, freq= 68968584839168
id= 2921, freq= 220830038491136
id= 2884, freq= 197598560387072
id= 2721, freq= 258260678475776
id= 8501, freq= 111093624078336
id= 7707, freq= 153815663771648
id= 5401, freq= 429496729600
id= 3889, freq= 85899345920
id= 1046, freq= 73534135074816
id= 2029, freq= 562640715776
id= 4651, freq= 215684667670528
id= 1456, freq= 206158430208
id= 5047, freq= 141536352272384
id= 2903, freq= 115964116992
id= 7008, freq= 137834090463232
id= 1317, freq= 589080534450176
id= 3076, freq= 267134080909312
id= 1925, freq= 473563094056960
id= 1479, freq= 360777252864
id= 1409, freq= 712964571136
id= 1482, freq= 507020889292800
id= 1108, freq= 775894431956992
id= 1372, freq= 472287488770048
id= 1356, freq= 567206266011648
id= 1161, freq= 146454089826304
id= 1481, freq= 545173083783168
id= 1251, freq= 610804479033344
id= 2051, freq= 78365973282816
id= 3199, freq= 34905199214592
id= 1367, freq= 895612350365696
id= 1182, freq= 739417274712064
id= 1480, freq= 380057361055744
id= 1419, freq= 48898202664960
id= 1489, freq= 318755292839936
id= 1599, freq= 188394445471744
id= 1510, freq= 9878424780800
id= 1352, freq= 27565100105728
id= 2425, freq= 41635412967424
id= 10693, freq= 30485677867008
id= 1198, freq= 836135643250688
id= 3306, freq= 451014515752960
id= 2665, freq= 222071284039680
id= 2611, freq= 114559662686208
id= 3805, freq= 391198506221568
id= 1570, freq= 295240346894336
id= 2408, freq= 524200758476800
id= 1447, freq= 60683592925184
id= 2654, freq= 290082091171840
id= 4212, freq= 49216030244864
id= 1823, freq= 98784247808
id= 1764, freq= 233620451098624
id= 1046, freq= 34591666601984
id= 2317, freq= 72593537236992
id= 1058, freq= 710988886179840
id= 1097, freq= 498469609406464
id= 1011, freq= 68380174319616
id= 1096, freq= 724208795516928
id= 2582, freq= 235651970629632
id= 1103, freq= 27118423506944
id= 10055, freq= 27977416966144
id= 1150, freq= 680945589944320
id= 1930, freq= 27891517620224
id= 1217, freq= 9826885173248
id= 8774, freq= 5248450035712
id= 1456, freq= 526197918269440
id= 1741, freq= 465789203251200
id= 1175, freq= 601974026272768
id= 1201, freq= 453381042733056
id= 3673, freq= 233422882603008
id= 1491, freq= 322814036934656
id= 1261, freq= 720867310960640
id= 3140, freq= 283025459904512
id= 1321, freq= 13584981557248
id= 1028, freq= 8645769166848
id= 4685, freq= 146763327471616
id= 1471, freq= 22909355556864
id= 5371, freq= 47098611367936
id= 2531, freq= 15341623181312
id= 1425, freq= 307103046565888
id= 2072, freq= 347432789475328
id= 1077, freq= 11630771437568
id= 1248, freq= 21010980012032
id= 1005, freq= 636522743201792
id= 1805, freq= 58763742543872
id= 12925, freq= 14731737825280
id= 1602, freq= 433435214610432
id= 3780, freq= 211290916126720
id= 3966, freq= 315396628414464
id= 1040, freq= 13795434954752
id= 1234, freq= 786743519346688
id= 3988, freq= 205449760604160
id= 1641, freq= 59017145614336
id= 1767, freq= 26950919782400
id= 2921, freq= 37048387895296
id= 1033, freq= 125211181580288
id= 1167, freq= 560772405002240
id= 2052, freq= 614334942150656
id= 2565, freq= 26860725469184
id= 1062, freq= 122535416954880
id= 1386, freq= 14783277432832
id= 2808, freq= 324059577450496
id= 3398, freq= 24232205484032
id= 1891, freq= 906663301218304
id= 1262, freq= 31881542238208
id= 1881, freq= 716709782618112
id= 2737, freq= 569126116392960
id= 5393, freq= 29867202576384
id= 5159, freq= 20139101650944
id= 2463, freq= 94686849007616
id= 1172, freq= 567811856400384
id= 1317, freq= 182622009425920
id= 1046, freq= 773403350925312
id= 2491, freq= 58686433132544
id= 3616, freq= 316569154486272
id= 1691, freq= 717250948497408
id= 3584, freq= 4355096838144
id= 3115, freq= 202005196832768
id= 2019, freq= 32190779883520
id= 1475, freq= 523672477499392
id= 1326, freq= 541483706875904
id= 1130, freq= 721524440956928
id= 1387, freq= 599491535175680
id= 1716, freq= 4213362917376
id= 1470, freq= 667347723485184
id= 3313, freq= 169402100088832
id= 1222, freq= 720588138086400
id= 1253, freq= 754982236192768
id= 1235, freq= 802252646252544
id= 1180, freq= 396635934818304
id= 1681, freq= 665376333496320
id= 2331, freq= 681881892814848
id= 1571, freq= 158913789952
id= 3830, freq= 90194313216
id= 1063, freq= 85959475462144
id= 8356, freq= 25975962206208
id= 1224, freq= 390000210345984
id= 15178, freq= 54838142435328
id= 4155, freq= 2671469658112
id= 2847, freq= 125425929945088
id= 2120, freq= 426181014847488
id= 3747, freq= 439980744769536
id= 6552, freq= 209091892871168
id= 1298, freq= 36361193127936
id= 3320, freq= 494346440802304
id= 1707, freq= 48442936131584
id= 8645, freq= 113546050404352
id= 3537, freq= 127539053854720
id= 5615, freq= 179916180029440
id= 5281, freq= 128608500711424
id= 1362, freq= 14813342203904
id= 1288, freq= 825252196122624
id= 2410, freq= 73800423047168
id= 10627, freq= 83958020702208
id= 1418, freq= 65768834203648
id= 15962, freq= 41618233098240
id= 10600, freq= 31172872634368
id= 1192, freq= 191366562840576
id= 9234, freq= 14529874362368
id= 1470, freq= 1287107209330688
id= 5568, freq= 168281113624576
id= 1829, freq= 186332861169664
id= 5543, freq= 167830142058496
id= 6160, freq= 154683247165440
id= 1134, freq= 545409306984448
id= 1981, freq= 711396908072960
id= 1323, freq= 730157325221888
id= 2738, freq= 249881197281280
id= 1202, freq= 593946732396544
id= 1225, freq= 682818195685376
id= 4139, freq= 63346472648704
id= 1068, freq= 750326491643904
id= 1301, freq= 668631918706688
id= 10513, freq= 47536698032128
id= 2468, freq= 496021478047744
id= 73781, freq= 4526895529984
id= 1355, freq= 932007903232
id= 1017, freq= 473129302360064
id= 1858, freq= 9487582756864
id= 8180, freq= 29622389440512
id= 3508, freq= 101614631256064
id= 1343, freq= 120950574022656
id= 3669, freq= 7537667604480
id= 2098, freq= 23274427777024
id= 1387, freq= 26912265076736
id= 2764, freq= 141772575473664
id= 2092, freq= 408623188541440
id= 2014, freq= 19219978649600
id= 3002, freq= 58317065945088
id= 2914, freq= 47270410059776
id= 2145, freq= 206656646414336
id= 4172, freq= 226563819831296
id= 1501, freq= 428886844243968
id= 3294, freq= 82600811036672
id= 2485, freq= 179426553757697
id= 1473, freq= 289820098166784
id= 3930, freq= 76532022247424
id= 1185, freq= 66095251718144
id= 1149, freq= 363770845069312
id= 1275, freq= 587212223676416
id= 2931, freq= 144229296766976
id= 2205, freq= 294810850164736
id= 1602, freq= 344422017400832
id= 1970, freq= 3362959392768
id= 1036, freq= 12167642349568
id= 1517, freq= 326524888678400
id= 6397, freq= 4346506903552
id= 3567, freq= 111368501985280
id= 6111, freq= 116857470189568
id= 1074, freq= 736449452310528
id= 4141, freq= 145199959375872
id= 1599, freq= 42640435314688
id= 3925, freq= 5927054868480
id= 1117, freq= 347931005681664
id= 2994, freq= 13941463842816
id= 2094, freq= 34037615820800
id= 1919, freq= 97727685853184
id= 8295, freq= 56848187129856
id= 4566, freq= 153880088281088
id= 1362, freq= 554682141376512
id= 1769, freq= 373967097430016
id= 1553, freq= 438546225692672
id= 1710, freq= 16028817948672
id= 1026, freq= 431618443444224
id= 1159, freq= 835349664235520
id= 1275, freq= 2250562863104
id= 2149, freq= 72280004624384
id= 1380, freq= 721064879456256
id= 1007, freq= 728435043336192
id= 1076, freq= 85001697755136
id= 2561, freq= 863288426496
id= 1359, freq= 725291127275520
id= 1489, freq= 150323855360
id= 4559, freq= 8555574853632
id= 39329, freq= 7456063225856
id= 1140, freq= 483213885571072
id= 10015, freq= 163208757248
id= 1278, freq= 64424509440
id= 1103, freq= 373146758676480
id= 1532, freq= 428440167645184
id= 1091, freq= 201567110168576
id= 2931, freq= 210453397504
id= 1005, freq= 326417514496
id= 1116, freq= 270582939648
id= 2493, freq= 605590388736
id= 1161, freq= 463856467968
id= 1000, freq= 606917533630464
id= 1333, freq= 3066606649344
id= 1114, freq= 774996783792128
id= 1538, freq= 745460293697536
id= 3040, freq= 25516400705536
id= 1048, freq= 564298573152256
id= 1866, freq= 394870703259648
id= 3302, freq= 104492259344384
id= 2282, freq= 6996501725184
id= 3977, freq= 26525718020096
id= 1464, freq= 403039731056640
id= 2309, freq= 426580446806016
id= 2421, freq= 51273319579648
id= 12918, freq= 97074850824192
id= 4250, freq= 112652697206784
id= 1116, freq= 28819230556160
id= 1114, freq= 630642932973568
id= 1170, freq= 50109383442432
id= 2988, freq= 315985038934016
id= 1495, freq= 591223723130880
id= 2945, freq= 34359738368
id= 11089, freq= 25731149070336
id= 2079, freq= 167503724544
id= 2055, freq= 138568529870848
id= 4819, freq= 342966023487488
id= 1246, freq= 615683561881600
id= 1297, freq= 412883796099072
id= 2135, freq= 709429813051392
id= 2657, freq= 148824911773696
id= 1010, freq= 152003187572736
id= 4691, freq= 68955699937280
id= 2052, freq= 282905200820224
id= 1910, freq= 5806795784192
id= 1102, freq= 2851858284544
id= 3271, freq= 84310208020480
id= 21236, freq= 12107512807424
id= 4529, freq= 55104430407680
id= 1573, freq= 32302449033216
id= 1425, freq= 547707114487808
id= 1885, freq= 38985418145792
id= 2858, freq= 21895743275008
id= 1047, freq= 558483187433472
id= 1324, freq= 319923523944448
id= 1032, freq= 306115204087808
id= 9611, freq= 11982958755840
id= 1269, freq= 72249939853312
id= 2611, freq= 230794362617856
id= 5747, freq= 325421082083328
id= 2043, freq= 59682865545216
id= 1477, freq= 6240587481088
id= 1086, freq= 995539059474432
id= 1198, freq= 57213259350016
id= 5769, freq= 105630425677824
id= 1052, freq= 90456306221056
id= 3161, freq= 32268089294848
id= 2025, freq= 4887672782848
id= 2023, freq= 37473589657600
id= 1415, freq= 37044092928000
id= 1932, freq= 34205119545344
id= 1812, freq= 734035680690176
id= 2208, freq= 22436909154304
id= 1599, freq= 41811506626560
id= 2052, freq= 91856465559552
id= 1373, freq= 30515742638080
id= 1001, freq= 73924977098752
id= 2138, freq= 58643483459584
id= 4865, freq= 124523986812928
id= 1368, freq= 34896609280000
id= 1591, freq= 12695923326976
id= 1581, freq= 54455890345984
id= 1247, freq= 630015867748352
id= 1479, freq= 54391465836544
id= 2143, freq= 57561151700992
id= 1236, freq= 329986632318976
id= 4886, freq= 90718299226112
id= 2263, freq= 195103184388096
id= 6685, freq= 116110145880064
id= 1033, freq= 71249212473344
id= 22273, freq= 13447542603776
id= 4353, freq= 28930899705856
id= 1341, freq= 60151016980480
id= 1132, freq= 507093903736832
id= 2641, freq= 22131966476288
id= 1338, freq= 17721035063296
id= 1037, freq= 91255170138112
id= 1287, freq= 22007412424704
id= 1599, freq= 714308895899648
id= 1600, freq= 79744657784832
id= 1499, freq= 54176717471744
id= 1700, freq= 202503413039104
id= 1107, freq= 143640886247424
id= 1396, freq= 21474836480
id= 2428, freq= 56483114909696
id= 2861, freq= 17179869184
id= 4125, freq= 17179869184
id= 1457, freq= 356482285568
id= 2258, freq= 21474836480
id= 1689, freq= 17179869184
id= 1312, freq= 564002220408832
id= 1232, freq= 725351256817664
id= 27565, freq= 1267015352320
id= 1206, freq= 686928479387648
id= 2737, freq= 43546673414144
id= 1327, freq= 617242635010048
id= 3889, freq= 11918534246400
id= 3511, freq= 242098716540928
id= 1085, freq= 719321122734080
id= 2481, freq= 516779054989312
id= 1148, freq= 48163763257344
id= 3450, freq= 340973158662144
id= 1981, freq= 334985974251520
id= 3147, freq= 159034049036288
id= 1734, freq= 186654983716864
id= 1898, freq= 222861558022144
